,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
0,) Urban Company, Gurgaon, 2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Apps,"445,920,356",Number of funding rounds: 12,1001-5000,Number of investors: 16
1,) Classplus, Noida, 2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi",B2B,"89,506,451",Number of funding rounds: 10,101-250,Number of investors: 20
2,) Paytm, Noida, 2010,"Akshay Khanna, Vijay Shekhar Sharma",E-Commerce,"32,448,851",Number of funding rounds: 4,501-1000,Number of investors: 4
3,) Apna, Mumbai, 2019,Nirmit Parikh,Employment,"93,450,000",Number of funding rounds: 4,101-250,Number of investors: 6
4,) Razorpay, Bengaluru, 2014,"Harshil Mathur, Shashank Kumar",Financial,"366,600,000",Number of funding rounds: 7,1001-5000,Number of investors: 29
5,) UpGrad, Mumbai, 2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",E-Learning,"176,283,446",Number of funding rounds: 4,1001-5000,Number of investors: 4
6,) Delhivery, Gurgaon, 2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan",E-Commerce,"1,236,569",Number of funding rounds: 11,5001-10000,Number of investors: 13
7,) 1mg, Gurgaon, 2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan",Delivery,"204,600,209",Number of funding rounds: 16,11-50,Number of investors: 17
8,) BigBasket, Bengaluru, 2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar",Delivery,"1,119,863",Number of funding rounds: 17,5001-10000,Number of investors: 17
9,) GoMechanic, Gurgaon, 2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa",Automotive,"59,849,371",Number of funding rounds: 8,251-500,Number of investors: 9
10,) Unacademy, Bengaluru, 2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta",E-Learning,"398,500,000",Number of funding rounds: 11,251-500,Number of investors: 36
11,) Ola, Kormangala, 2010,"Ankit Bhati, Bhavish Aggarwal",Apps,"3,808,672",Number of funding rounds: 25,5001-10000,Number of investors: 45
12,) Licious, Bengaluru, 2015,"Abhay Hanjura, Vivek Gupta",Delivery,"158,589,644",Number of funding rounds: 7,1001-5000,Number of investors: 20
13,) CRED, Bengaluru, 2018,Kunal Shah,Credit,"471,205,550",Number of funding rounds: 6,251-500,Number of investors: 28
14,) CityMall, Gurgaon, 2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan",Consumer,"37,100,000",Number of funding rounds: 5,101-250,Number of investors: 14
15,) Pine Labs, Noida, 1998,"Rajul Garg, Tarun Upaday",Financial,"423,238,799",Number of funding rounds: 8,1001-5000,Number of investors: 15
16,) Dodla Dairy, Hyderabad, 1995,D. Sunil Reddy,Consumer,"71,276,176",Number of funding rounds: 3,501-1000,Number of investors: 13
17,) Groww, Bengaluru, 2017,"Harsh Jain, ",Financial,"142,262,674",Number of funding rounds: 6,251-500,Number of investors: 16
18,) Grofers, Gurgaon, 2013,"Albinder Dhindsa, Saurabh Kumar",Delivery,"662,398,135",Number of funding rounds: 13,1001-5000,Number of investors: 13
19,) Jumbotail, Bengaluru, 2015,"Ashish Jhina, Karthik Venkateswaran",E-Commerce,"55,345,400",Number of funding rounds: 8,101-250,Number of investors: 20
20,) slice, Bengaluru, 2016,"Deepak Malhotra, Rajan Bajaj",Banking,"53,665,909",Number of funding rounds: 8,251-500,Number of investors: 20
21,) InMobi, Bengaluru, 2007,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah",Advertising,"320,600,000",Number of funding rounds: 7,501-1000,Number of investors: 6
22,) Dunzo, Bengaluru, 2015,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha",Delivery,"128,399,438",Number of funding rounds: 15,1001-5000,Number of investors: 24
23,) BYJU, Bengaluru, 2011,"Byju Raveendran, Divya Gokulnath",E-Learning,"2,745,964",Number of funding rounds: 18,251-500,Number of investors: 38
24,) Cashfree, Bengaluru, 2015,"Akash Sinha, Reeju Datta",Finance,"40,920,000",Number of funding rounds: 4,1001-5000,Number of investors: 6
25,) MediBuddy, Bengaluru, 2000,Satish Kannan,Health,"67,132,379",Number of funding rounds: 5,11-50,Number of investors: 12
26,) Progcap, Delhi, 2017,Pallavi Shrivastava,Enterprise,"32,324,325",Number of funding rounds: 4,51-100,Number of investors: 9
27,) Capital Float, Bengaluru, 2013,"Gaurav Hinduja, Sashank Rishyasringa",B2B,"150,417,120",Number of funding rounds: 11,1001-5000,Number of investors: 12
28,) CARS24, Gurgaon, 2015,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra",Artificial,"393,848,044",Number of funding rounds: 5,501-1000,Number of investors: 21
29,) Bharat Biotech, Hyderabad, 1996,"Krishna Ella, Suchitra Ella",BiotechnologyNumber,"14,100,000",Number of funding rounds: 3,11-50,Number of investors: 3
30,) Skillmatics, Mumbai, 2016,"Devanshi Kejriwal, Dhvanil Sheth",Children,"7,419,353",Number of funding rounds: 2,1001-5000,Number of investors: 2
31,) Rapido, Bengaluru, 2015,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR",Information,"121,996,807",Number of funding rounds: 9,101-250,Number of investors: 32
32,) Reliance Jio, Mumbai, 2010,Mukesh Ambani,Apps,"24,767,620",Number of funding rounds: 16,11-50,Number of investors: 35
33,) YourStory, Bengaluru, 2008,Shradha Sharma,Information,"8,469,522",Number of funding rounds: 3,5001-10000,Number of investors: 6
34,) Kodo, Mumbai, 2019,"Deepti Sanghi, Gaurav Thapa",B2B,"8,736,466",Number of funding rounds: 2,11-50,Number of investors: 5
35,) Practo, Bengaluru, 2008,"Abhinav Lal, Shashank ND",Health,"228,246,376",Number of funding rounds: 7,251-500,Number of investors: 14
36,) NiYO Solutions, Bengaluru, 2015,Virender Bisht,Finance,"49,200,000",Number of funding rounds: 3,1001-5000,Number of investors: 5
37,) Reliance Retail, Mumbai, 2006,Mukesh Ambani,Consumer,"6,419,310",Number of funding rounds: 6,101-250,Number of investors: 8
38,) Locus.sh, Bengaluru, 2015,"Geet Garg, Nishith Rastogi",Big,"78,750,000",Number of funding rounds: 6,251-500,Number of investors: 25
39,) KreditBee, Bengaluru, 2018,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",Financial,"116,258,656",Number of funding rounds: 3,1001-5000,Number of investors: 7
40,) boAt, Delhi, 2016,"Aman Gupta, Sameer Mehta",Consumer,"9,009,184",Number of funding rounds: 6,11-50,Number of investors: 5
41,) Flipkart, Bengaluru, 2007,"Binny Bansal, Sachin Bansal",E-Commerce,"165,518,505",Number of funding rounds: 24,51-100,Number of investors: 24
42,) MobiKwik, Gurgaon, 2009,"Bipin Singh, Chandan Joshi, Upasana Taku",Consumer,"64,495,265",Number of funding rounds: 15,51-100,Number of investors: 26
43,) Cuemath, Bengaluru, 2013,Manan Khurma,E-Learning,"35,400,000",Number of funding rounds: 5,1001-5000,Number of investors: 8
44,) Jai Kisan, Mumbai, 2017,"Adriel Maniego, Arjun Ahluwalia",Agriculture,"161,545,747",Number of funding rounds: 5,101-250,Number of investors: 18
45,) Infra.Market, Thane, 2016,"Aaditya Sharda, Souvik Sengupta",Construction,"277,583,000",Number of funding rounds: 7,501-1000,Number of investors: 8
46,) Xpressbees, Pune, 2015,"Amitava Saha, Supam Maheshwari",Delivery,"383,626,249",Number of funding rounds: 8,1001-5000,Number of investors: 11
47,) Northern Arc, Chennai, 2008,Kshama Fernandes,Enterprise,"112,087,670",Number of funding rounds: 11,101-250,Number of investors: 12
48,) Toppr, Mumbai, 2013,"Hemanth Goteti, Zishaan Hayath",E-Learning,"56,035,717",Number of funding rounds: 11,501-1000,Number of investors: 14
49,) MyGlamm, Mumbai, 2015,"Darpan Sanghvi, Priyanka Gill",Beauty,"274,145,634",Number of funding rounds: 8,11-50,Number of investors: 14
50,) ZoomCar, Bengaluru, 2012,"David Back, Greg Moran",Automotive,"1,776,260",Number of funding rounds: 20,1001-5000,Number of investors: 36
51,) Snapdeal, Gurgaon, 2010,"Kunal Bahl, Rohit Bansal",Consumer,"11,294,388",Number of funding rounds: 13,11-50,Number of investors: 26
52,) WhiteHat Education Technology, Andheri, 2018,Karan Bajaj,EducationNumber,"247,500,000",Number of funding rounds: 2,51-100,Number of investors: 3
53,) CarDekho, Gurgaon, 2007,"Amit Jain, Anurag Jain",Automotive,"33,997,488",Number of funding rounds: 7,101-250,Number of investors: 14
54,) Koo App, Bengaluru, 2020,"Aprameya Radhakrishna, Mayank Bidawatka",Apps,"32,070,087",Number of funding rounds: 3,1001-5000,Number of investors: 10
